Date,Dividends
2008-09-23,0.143
2007-12-19,0.188
2012-09-21,0.177
2016-06-13,0.228
2008-06-23,0.153
2017-03-23,0.264
2016-09-12,0.262
2009-03-24,0.135
2017-06-20,0.28
2013-03-21,0.177
2009-06-23,0.109
2011-12-20,0.175
2017-09-21,0.269
2013-06-21,0.188
2015-12-18,0.283
2007-06-22,0.138
2008-12-19,0.161
2011-09-22,0.149
2019-09-13,0.339
2020-03-25,0.297
2005-03-23,0.106
2007-09-21,0.157
2020-06-24,0.339
2012-03-23,0.151
2020-09-24,0.326
2012-12-19,0.265
2012-06-22,0.168
2016-03-14,0.234
2008-03-24,0.152
2016-12-19,0.354
2006-06-23,0.129
2010-09-23,0.145
2005-12-23,0.161
2009-12-21,0.175
2015-03-24,0.247
2006-09-22,0.128
2019-03-22,0.374
2017-12-20,0.328
2011-03-24,0.137
2015-06-25,0.228
2007-03-23,0.146
2011-06-23,0.138
2013-12-19,0.24
2015-09-24,0.247
2019-06-14,0.265
2006-12-21,0.172
2009-09-23,0.12
2005-06-24,0.097
2013-09-20,0.209
2014-03-24,0.206
2019-12-23,0.429
2018-03-21,0.276
2005-09-23,0.138
2014-06-23,0.205
2014-12-22,0.273
2006-03-17,0.127
2010-03-24,0.115
2018-06-21,0.294
2018-09-27,0.348
2018-12-21,0.346
2010-12-21,0.17
2014-09-23,0.226
2010-06-23,0.131